time_data,waveform
-0.0024999936,-0.0371094
-0.0024999552,-0.00195313
-0.0024999168,-0.0136719
-0.0024998784000000002,0.00585937
-0.00249984,-0.0175781
-0.0024998016,-0.00976563
-0.0024997632,-0.0175781
-0.0024997248,-0.00195313
-0.0024996864000000002,-0.00585938
-0.002499648,0.00976562
-0.0024996096,0.00976562
-0.0024995712,-0.00195313
-0.0024995328,0.0136719
-0.0024994944000000002,0.0253906
-0.002499456,0.00585937
-0.0024994176,0.0253906
-0.0024993792,0.0175781
-0.0024993408,0.0214844
-0.0024993024,0.0136719
-0.002499264,0.0292969
-0.0024992256,0.0292969
-0.0024991872,0.0371094
-0.0024991488,0.0214844
-0.0024991104,0.0332031
-0.002499072,0.0449219
-0.0024990336,0.0449219
-0.0024989952,0.0292969
-0.0024989568,0.0527344
-0.0024989184,0.0371094
-0.00249888,0.0566406
-0.0024988416,0.0488281
-0.0024988032,0.0566406
-0.0024987648,0.0488281
-0.0024987264,0.0683594
-0.002498688,0.0644531
-0.0024986496,0.0761719
-0.0024986112,0.0683594
-0.0024985728,0.0722656
-0.0024985344,0.0683594
-0.0024984960000000002,0.0722656
-0.0024984576,0.0957031
-0.0024984192,0.0839844
-0.0024983808,0.0878906
-0.0024983424,0.0996094
-0.0024983040000000002,0.0878906
-0.0024982656,0.0917969
-0.0024982272,0.0761719
-0.0024981888,0.123047
-0.0024981504,0.103516
-0.0024981120000000002,0.0917969
-0.0024980736,0.111328
-0.0024980352,0.107422
-0.0024979968,0.103516
-0.0024979584,0.115234
-0.00249792,0.119141
-0.0024978816,0.115234
-0.0024978432,0.126953
-0.0024978048,0.115234
-0.0024977664,0.134766
-0.002497728,0.119141
-0.0024976896,0.134766
-0.0024976512,0.115234
-0.0024976128,0.130859
-0.0024975744,0.130859
-0.002497536,0.146484
-0.0024974976,0.150391
-0.0024974592,0.138672
-0.0024974208,0.142578
-0.0024973824,0.150391
-0.002497344,0.146484
-0.0024973056,0.162109
-0.0024972672,0.154297
-0.0024972288,0.154297
-0.0024971904,0.154297
-0.002497152,0.158203
-0.0024971136000000002,0.162109
-0.0024970752,0.173828
-0.0024970368,0.169922
-0.0024969984,0.185547
-0.00249696,0.177734
-0.0024969216000000002,0.185547
-0.0024968832,0.185547
-0.0024968448,0.185547
-0.0024968064,0.189453
-0.002496768,0.173828
-0.0024967296000000003,0.185547
-0.0024966912,0.193359
-0.0024966528,0.189453
-0.0024966144,0.201172
-0.002496576,0.201172
-0.0024965376,0.201172
-0.0024964992,0.205078
-0.0024964608,0.205078
-0.0024964224,0.212891
-0.002496384,0.220703
-0.0024963456,0.224609
-0.0024963072,0.220703
-0.0024962688,0.228516
-0.0024962304,0.228516
-0.002496192,0.228516
-0.0024961536,0.216797
-0.0024961152,0.224609
-0.0024960768,0.232422
-0.0024960384,0.236328
-0.002496,0.228516
-0.0024959616,0.240234
-0.0024959232000000002,0.224609
-0.0024958848,0.228516
-0.0024958464,0.248047
-0.002495808,0.244141
-0.0024957696,0.255859
-0.0024957312000000002,0.251953
-0.0024956928,0.259766
-0.0024956544,0.271484
-0.002495616,0.259766
-0.0024955776,0.259766
-0.0024955392000000002,0.259766
-0.0024955008,0.248047
-0.0024954624,0.291016
-0.002495424,0.255859
-0.0024953856,0.271484
-0.0024953472,0.287109
-0.0024953088,0.275391
-0.0024952704,0.283203
-0.002495232,0.287109
-0.0024951936,0.287109
-0.0024951552,0.279297
-0.0024951168,0.298828
-0.0024950784,0.302734
-0.00249504,0.294922
-0.0024950016,0.302734
-0.0024949632,0.306641
-0.0024949248,0.318359
-0.0024948864,0.314453
-0.002494848,0.298828
-0.0024948096,0.326172
-0.0024947712,0.298828
-0.0024947328,0.333984
-0.0024946944,0.318359
-0.002494656,0.330078
-0.0024946176,0.326172
-0.0024945792,0.322266
-0.0024945408000000002,0.318359
-0.0024945024,0.314453
-0.002494464,0.333984
-0.0024944256,0.345703
-0.0024943872,0.353516
-0.0024943488000000002,0.337891
-0.0024943104,0.345703
-0.002494272,0.330078
-0.0024942336,0.330078
-0.0024941952,0.345703
-0.0024941568000000003,0.361328
-0.0024941184,0.353516
-0.00249408,0.345703
-0.0024940416,0.349609
-0.0024940032,0.361328
-0.0024939648,0.369141
-0.0024939264,0.373047
-0.002493888,0.361328
-0.0024938496,0.373047
-0.0024938112,0.373047
-0.0024937728,0.373047
-0.0024937344,0.384766
-0.002493696,0.376953
-0.0024936576,0.388672
-0.0024936192,0.380859
-0.0024935808,0.376953
-0.0024935424,0.388672
-0.002493504,0.384766
-0.0024934656,0.376953
-0.0024934272,0.400391
-0.0024933888,0.396484
-0.0024933504,0.392578
-0.002493312,0.408203
-0.0024932736,0.400391
-0.0024932352,0.412109
-0.0024931968,0.400391
-0.0024931584000000002,0.412109
-0.00249312,0.396484
-0.0024930816,0.404297
-0.0024930432,0.416016
-0.0024930048,0.423828
-0.0024929664000000002,0.427734
-0.002492928,0.431641
-0.0024928896,0.427734
-0.0024928512,0.423828
-0.0024928128,0.427734
-0.0024927744,0.431641
-0.002492736,0.427734
-0.0024926976,0.431641
-0.0024926592,0.451172
-0.0024926208,0.427734
-0.0024925824,0.427734
-0.002492544,0.451172
-0.0024925056,0.447266
-0.0024924672,0.451172
-0.0024924288,0.470703
-0.0024923904,0.470703
-0.002492352,0.466797
-0.0024923136,0.470703
-0.0024922752,0.466797
-0.0024922368,0.455078
-0.0024921984,0.490234
-0.00249216,0.458984
-0.0024921216,0.470703
-0.0024920832,0.470703
-0.0024920448,0.482422
-0.0024920064,0.482422
-0.0024919680000000002,0.490234
-0.0024919296,0.486328
-0.0024918912,0.498047
-0.0024918528,0.474609
-0.0024918144,0.494141
-0.0024917760000000002,0.486328
-0.0024917376,0.498047
-0.0024916992,0.501953
-0.0024916608,0.494141
-0.0024916224,0.505859
-0.0024915840000000002,0.505859
-0.0024915456,0.490234
-0.0024915072,0.501953
-0.0024914688,0.501953
-0.0024914304,0.501953
-0.002491392,0.509766
-0.0024913536,0.513672
-0.0024913152,0.529297
-0.0024912768,0.521484
-0.0024912384,0.529297
-0.0024912,0.533203
-0.0024911616,0.533203
-0.0024911232,0.541016
-0.0024910848,0.501953
-0.0024910464,0.544922
-0.002491008,0.529297
-0.0024909696,0.529297
-0.0024909312,0.533203
-0.0024908928,0.537109
-0.0024908544,0.556641
-0.002490816,0.544922
-0.0024907776,0.560547
-0.0024907392,0.548828
-0.0024907008,0.544922
-0.0024906624,0.568359
-0.002490624,0.548828
-0.0024905856000000002,0.564453
-0.0024905472,0.556641
-0.0024905088,0.556641
-0.0024904704,0.560547
-0.002490432,0.560547
-0.0024903936000000002,0.560547
-0.0024903552,0.580078
-0.0024903168,0.580078
-0.0024902784,0.580078
-0.00249024,0.583984
-0.0024902016000000003,0.580078
-0.0024901632,0.595703
-0.0024901248,0.583984
-0.0024900864,0.587891
-0.002490048,0.595703
-0.0024900096,0.587891
-0.0024899712,0.611328
-0.0024899328,0.587891
-0.0024898944,0.615234
-0.002489856,0.599609
-0.0024898176,0.615234
-0.0024897792,0.615234
-0.0024897408,0.615234
-0.0024897024,0.615234
-0.002489664,0.603516
-0.0024896256,0.611328
-0.0024895872,0.615234
-0.0024895488,0.623047
-0.0024895104,0.623047
-0.002489472,0.626953
-0.0024894336,0.615234
-0.0024893952000000002,0.630859
-0.0024893568,0.619141
-0.0024893184,0.630859
-0.00248928,0.619141
-0.0024892416,0.638672
-0.0024892032000000002,0.638672
-0.0024891648,0.646484
-0.0024891264,0.638672
-0.002489088,0.666016
-0.0024890496,0.630859
-0.0024890112000000002,0.658203
-0.0024889728,0.662109
-0.0024889344,0.650391
-0.002488896,0.642578
-0.0024888576,0.638672
-0.0024888192,0.662109
-0.0024887808,0.650391
-0.0024887424,0.669922
-0.002488704,0.654297
-0.0024886656,0.658203
-0.0024886272,0.654297
-0.0024885888,0.669922
-0.0024885504,0.681641
-0.002488512,0.666016
-0.0024884736,0.673828
-0.0024884352,0.673828
-0.0024883968,0.662109
-0.0024883584,0.677734
-0.00248832,0.685547
-0.0024882816,0.673828
-0.0024882432,0.693359
-0.0024882048,0.681641
-0.0024881664,0.673828
-0.002488128,0.697266
-0.0024880896,0.689453
-0.0024880512,0.697266
-0.0024880128000000002,0.693359
-0.0024879744,0.685547
-0.002487936,0.712891
-0.0024878976,0.685547
-0.0024878592,0.701172
-0.0024878208000000002,0.697266
-0.0024877824,0.705078
-0.002487744,0.697266
-0.0024877056,0.708984
-0.0024876672,0.712891
-0.0024876288000000002,0.708984
-0.0024875904,0.716797
-0.002487552,0.716797
-0.0024875136,0.716797
-0.0024874752,0.720703
-0.0024874368,0.744141
-0.0024873984,0.720703
-0.00248736,0.724609
-0.0024873216,0.728516
-0.0024872832,0.732422
-0.0024872448,0.744141
-0.0024872064,0.732422
-0.002487168,0.748047
-0.0024871296,0.740234
-0.0024870912,0.732422
-0.0024870528,0.732422
-0.0024870144,0.744141
-0.002486976,0.744141
-0.0024869376,0.736328
-0.0024868992,0.759766
-0.0024868608,0.740234
-0.0024868224,0.748047
-0.002486784,0.744141
-0.0024867456,0.759766
-0.0024867072,0.751953
-0.0024866688,0.736328
-0.0024866304000000002,0.748047
-0.002486592,0.759766
-0.0024865536,0.767578
-0.0024865152,0.771484
-0.0024864768,0.771484
-0.0024864384000000002,0.759766
-0.0024864,0.771484
-0.0024863616,0.771484
-0.0024863232,0.759766
-0.0024862848,0.771484
-0.0024862464000000003,0.759766
-0.002486208,0.787109
